GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
06001,050,06,001,41860,488,,,Alameda County,1510271,582549,1443741,540183,1510271,1443741
06003,050,06,003,99999,999,,,Alpine County,1175,1760,1208,1514,1175,1208
06005,050,06,005,99999,999,,,Amador County,38091,18032,35100,15035,38091,35100
06007,050,06,007,17020,999,,,Butte County,220000,95835,203171,85523,220000,203171
06009,050,06,009,99999,999,,,Calaveras County,45578,27925,40554,22946,45578,40554
06011,050,06,011,99999,999,,,Colusa County,21419,7883,18804,6774,21419,18804
06013,050,06,013,41860,488,,,Contra Costa County,1049025,400263,948816,354577,1049025,948816
06015,050,06,015,18860,999,,,Del Norte County,28610,11186,27507,10434,28610,27507
06017,050,06,017,40900,472,,,El Dorado County,181058,88159,156299,71278,181058,156299
06019,050,06,019,23420,260,,,Fresno County,930450,315531,799407,270767,930450,799407
06021,050,06,021,99999,999,,,Glenn County,28122,10778,26453,9982,28122,26453
06023,050,06,023,21700,999,,,Humboldt County,134623,61559,126518,55912,134623,126518
06025,050,06,025,20940,999,,,Imperial County,174528,56067,142361,43891,174528,142361
06027,050,06,027,13860,999,,,Inyo County,18546,9478,17945,9042,18546,17945
06029,050,06,029,12540,999,,,Kern County,839631,284367,661645,231564,839631,661645
06031,050,06,031,25260,999,,,Kings County,152982,43867,129461,36563,152982,129461
06033,050,06,033,17340,999,,,Lake County,64665,35492,58309,32528,64665,58309
06035,050,06,035,45000,999,,,Lassen County,34895,12710,33828,12000,34895,33828
06037,050,06,037,31100,348,,,Los Angeles County,9818605,3445076,9519338,3270909,9818605,9519338
06039,050,06,039,31460,260,,,Madera County,150865,49140,123109,40387,150865,123109
06041,050,06,041,41860,488,,,Marin County,252409,111214,247289,104990,252409,247289
06043,050,06,043,99999,999,,,Mariposa County,18251,10188,17130,8826,18251,17130
06045,050,06,045,46380,999,,,Mendocino County,87841,40323,86265,36937,87841,86265
06047,050,06,047,32900,999,,,Merced County,255793,83698,210554,68373,255793,210554
06049,050,06,049,99999,999,,,Modoc County,9686,5192,9449,4807,9686,9449
06051,050,06,051,99999,999,,,Mono County,14202,13912,12853,11757,14202,12853
06053,050,06,053,41500,999,,,Monterey County,415057,139048,401762,131708,415057,401762
06055,050,06,055,34900,488,,,Napa County,136484,54759,124279,48554,136484,124279
06057,050,06,057,46020,472,,,Nevada County,98764,52590,92033,44282,98764,92033
06059,050,06,059,31100,348,,,Orange County,3010232,1048907,2846289,969484,3010232,2846289
06061,050,06,061,40900,472,,,Placer County,348432,152648,248399,107302,348432,248399
06063,050,06,063,99999,999,,,Plumas County,20007,15566,20824,13386,20007,20824
06065,050,06,065,40140,348,,,Riverside County,2189641,800707,1545387,584674,2189641,1545387
06067,050,06,067,40900,472,,,Sacramento County,1418788,555932,1223499,474814,1418788,1223499
06069,050,06,069,41940,488,,,San Benito County,55269,17870,53234,16499,55269,53234
06071,050,06,071,40140,348,,,San Bernardino County,2035210,699637,1709434,601369,2035210,1709434
06073,050,06,073,41740,999,,,San Diego County,3095313,1164786,2813833,1040149,3095313,2813833
06075,050,06,075,41860,488,,,San Francisco County,805235,376942,776733,346527,805235,776733
06077,050,06,077,44700,999,,,San Joaquin County,685306,233755,563598,189160,685306,563598
06079,050,06,079,42020,999,,,San Luis Obispo County,269637,117315,246681,102275,269637,246681
06081,050,06,081,41860,488,,,San Mateo County,718451,271031,707161,260576,718451,707161
06083,050,06,083,42060,999,,,Santa Barbara County,423895,152834,399347,142901,423895,399347
06085,050,06,085,41940,488,,,Santa Clara County,1781642,631920,1682585,579329,1781642,1682585
06087,050,06,087,42100,488,,,Santa Cruz County,262382,104476,255602,98873,262382,255602
06089,050,06,089,39820,999,,,Shasta County,177223,77313,163256,68810,177223,163256
06091,050,06,091,99999,999,,,Sierra County,3240,2328,3555,2202,3240,3555
06093,050,06,093,99999,999,,,Siskiyou County,44900,23910,44301,21947,44900,44301
06095,050,06,095,46700,488,,,Solano County,413344,152698,394542,134513,413344,394542
06097,050,06,097,42220,488,,,Sonoma County,483878,204572,458614,183153,483878,458614
06099,050,06,099,33700,999,,,Stanislaus County,514453,179503,446997,150807,514453,446997
06101,050,06,101,49700,472,,,Sutter County,94737,33858,78930,28319,94737,78930
06103,050,06,103,39780,999,,,Tehama County,63463,26987,56039,23547,63463,56039
06105,050,06,105,99999,999,,,Trinity County,13786,8681,13022,7980,13786,13022
06107,050,06,107,47300,999,,,Tulare County,442179,141696,368021,119639,442179,368021
06109,050,06,109,38020,999,,,Tuolumne County,55365,31244,54501,28336,55365,54501
06111,050,06,111,37100,348,,,Ventura County,823318,281695,753197,251712,823318,753197
06113,050,06,113,40900,472,,,Yolo County,200849,75054,168660,61587,200849,168660
06115,050,06,115,49700,472,,,Yuba County,72155,27635,60219,22636,72155,60219
